,gene_name,dataset
428,B230216N24Rik,old_10X_cruk_changed_buffer
429,Gm7967,old_10X_cruk_changed_buffer
430,Rnf152,old_10X_cruk_changed_buffer
431,Gm17634,old_10X_cruk_changed_buffer
432,Pign,old_10X_cruk_changed_buffer
433,Gm28404,old_10X_cruk_changed_buffer
434,Relch,old_10X_cruk_changed_buffer
435,Tnfrsf11a,old_10X_cruk_changed_buffer
436,Gm7160,old_10X_cruk_changed_buffer
437,Zcchc2,old_10X_cruk_changed_buffer
438,Phlpp1,old_10X_cruk_changed_buffer
439,Bcl2,old_10X_cruk_changed_buffer
440,Kdsr,old_10X_cruk_changed_buffer
441,Vps4b,old_10X_cruk_changed_buffer
442,Serpinb8,old_10X_cruk_changed_buffer
443,Dsel,old_10X_cruk_changed_buffer
444,Tsn,old_10X_cruk_changed_buffer
445,Nifk,old_10X_cruk_changed_buffer
446,Clasp1,old_10X_cruk_changed_buffer
447,2900060B14Rik,old_10X_cruk_changed_buffer
448,Tfcp2l1,old_10X_cruk_changed_buffer
449,Gm29455,old_10X_cruk_changed_buffer
450,Ralb,old_10X_cruk_changed_buffer
451,Gm27184,old_10X_cruk_changed_buffer
452,Tmem185b,old_10X_cruk_changed_buffer
453,Epb41l5,old_10X_cruk_changed_buffer
454,Ptpn4,old_10X_cruk_changed_buffer
455,Tmem177,old_10X_cruk_changed_buffer
456,Tmem37,old_10X_cruk_changed_buffer
457,Dbi,old_10X_cruk_changed_buffer
458,3110009E18Rik,old_10X_cruk_changed_buffer
459,Steap3,old_10X_cruk_changed_buffer
460,Marco,old_10X_cruk_changed_buffer
461,Insig2,old_10X_cruk_changed_buffer
462,Ccdc93,old_10X_cruk_changed_buffer
463,Ddx18,old_10X_cruk_changed_buffer
464,Dpp10,old_10X_cruk_changed_buffer
465,Actr3,old_10X_cruk_changed_buffer
466,Slc35f5,old_10X_cruk_changed_buffer
467,Gpr39,old_10X_cruk_changed_buffer
468,Lypd1,old_10X_cruk_changed_buffer
469,Nckap5,old_10X_cruk_changed_buffer
470,Mgat5,old_10X_cruk_changed_buffer
471,Tmem163,old_10X_cruk_changed_buffer
472,Acmsd,old_10X_cruk_changed_buffer
473,2900009J06Rik,old_10X_cruk_changed_buffer
474,Ccnt2,old_10X_cruk_changed_buffer
475,Rab3gap1,old_10X_cruk_changed_buffer
476,Zranb3,old_10X_cruk_changed_buffer
477,R3hdm1,old_10X_cruk_changed_buffer
478,Ubxn4,old_10X_cruk_changed_buffer
479,Mcm6,old_10X_cruk_changed_buffer
480,Dars,old_10X_cruk_changed_buffer
481,Thsd7b,old_10X_cruk_changed_buffer
482,Gm15675,old_10X_cruk_changed_buffer
483,Cd55,old_10X_cruk_changed_buffer
484,C4bp,old_10X_cruk_changed_buffer
485,Pfkfb2,old_10X_cruk_changed_buffer
