,gene_name,dataset
477,Ppp1cc,snRNAseq2_old_buffer
478,Dnajb11,snRNAseq2_old_buffer
479,Zfp324,snRNAseq2_old_buffer
480,Gab2,snRNAseq2_old_buffer
481,Coro1c,snRNAseq2_old_buffer
482,Tax1bp1,snRNAseq2_old_buffer
483,Ctse,snRNAseq2_old_buffer
484,Ndrg2,snRNAseq2_old_buffer
485,Mettl17,snRNAseq2_old_buffer
486,Arhgef40,snRNAseq2_old_buffer
487,Pnpla6,snRNAseq2_old_buffer
488,Mcoln1,snRNAseq2_old_buffer
489,Arhgef18,snRNAseq2_old_buffer
490,Pkn2,snRNAseq2_old_buffer
491,Etfb,snRNAseq2_old_buffer
492,Stxbp2,snRNAseq2_old_buffer
493,Chn2,snRNAseq2_old_buffer
494,Wwox,snRNAseq2_old_buffer
495,Slbp,snRNAseq2_old_buffer
496,Aqp1,snRNAseq2_old_buffer
497,Arid3b,snRNAseq2_old_buffer
498,Polr2e,snRNAseq2_old_buffer
499,Abca13,snRNAseq2_old_buffer
500,Myo9b,snRNAseq2_old_buffer
501,Cd244,snRNAseq2_old_buffer
502,Adgre1,snRNAseq2_old_buffer
503,Mtfp1,snRNAseq2_old_buffer
504,Rab11a,snRNAseq2_old_buffer
505,Dlst,snRNAseq2_old_buffer
506,Ulk2,snRNAseq2_old_buffer
507,Dgkq,snRNAseq2_old_buffer
508,Grap,snRNAseq2_old_buffer
509,Plod3,snRNAseq2_old_buffer
510,Ap1s1,snRNAseq2_old_buffer
511,Mapk13,snRNAseq2_old_buffer
512,Srpk1,snRNAseq2_old_buffer
513,Lbr,snRNAseq2_old_buffer
514,Crabp2,snRNAseq2_old_buffer
515,Bcan,snRNAseq2_old_buffer
516,Hapln2,snRNAseq2_old_buffer
517,Prcc,snRNAseq2_old_buffer
518,Rrnad1,snRNAseq2_old_buffer
519,Hdgf,snRNAseq2_old_buffer
520,Thop1,snRNAseq2_old_buffer
521,Apba3,snRNAseq2_old_buffer
522,Matk,snRNAseq2_old_buffer
523,Pias4,snRNAseq2_old_buffer
524,Map2k1,snRNAseq2_old_buffer
525,Sgta,snRNAseq2_old_buffer
526,Tmem242,snRNAseq2_old_buffer
527,Zp3,snRNAseq2_old_buffer
528,Hspb1,snRNAseq2_old_buffer
529,Rasa4,snRNAseq2_old_buffer
530,Syt5,snRNAseq2_old_buffer
531,Hnrnpa2b1,snRNAseq2_old_buffer
532,Fxyd4,snRNAseq2_old_buffer
533,Ccdc130,snRNAseq2_old_buffer
534,Mri1,snRNAseq2_old_buffer
535,Prkacb,snRNAseq2_old_buffer
536,Sgsh,snRNAseq2_old_buffer
537,Chd5,snRNAseq2_old_buffer
538,Cstb,snRNAseq2_old_buffer
539,Pex5,snRNAseq2_old_buffer
540,Cd44,snRNAseq2_old_buffer
541,Slc1a2,snRNAseq2_old_buffer
