,n_genes,dataset
do21029,6864,snRNAseq2
do21030,3331,snRNAseq2
do21031,1044,snRNAseq2
do21032,2684,snRNAseq2
do21033,2791,snRNAseq2
do21034,1996,snRNAseq2
do21035,3348,snRNAseq2
do21036,2814,snRNAseq2
do21037,2455,snRNAseq2
do21038,1811,snRNAseq2
do21039,945,snRNAseq2
do21040,1898,snRNAseq2
do21041,3525,snRNAseq2
do21042,3451,snRNAseq2
do21043,2358,snRNAseq2
do21044,844,snRNAseq2
do21045,3964,snRNAseq2
do21046,3320,snRNAseq2
do22693,8045,snRNAseq2
do22694,6850,snRNAseq2
do22695,6754,snRNAseq2
do22696,5196,snRNAseq2
do22697,5382,snRNAseq2
do22698,6833,snRNAseq2
do22699,7655,snRNAseq2
do22700,2116,snRNAseq2
do22709,3643,snRNAseq2
do22710,4248,snRNAseq2
do22711,3415,snRNAseq2
do22712,4253,snRNAseq2
do22713,4520,snRNAseq2
do22714,5649,snRNAseq2
do22715,3696,snRNAseq2
do22716,1729,snRNAseq2
do22725,4334,snRNAseq2
do22726,3579,snRNAseq2
do22727,2769,snRNAseq2
do22728,3062,snRNAseq2
do22729,4539,snRNAseq2
do22730,4597,snRNAseq2
do22731,4125,snRNAseq2
do22732,1613,snRNAseq2
do22741,4396,snRNAseq2
do22742,3498,snRNAseq2
do22743,3657,snRNAseq2
do22744,2719,snRNAseq2
do22745,4284,snRNAseq2
do22746,3849,snRNAseq2
do22747,2452,snRNAseq2
do22748,1104,snRNAseq2
do22757,4968,snRNAseq2
do22758,3506,snRNAseq2
do22759,3538,snRNAseq2
do22760,3034,snRNAseq2
do22761,4224,snRNAseq2
do22762,3777,snRNAseq2
do22763,4099,snRNAseq2
do22764,1633,snRNAseq2
do22773,4708,snRNAseq2
do22774,4150,snRNAseq2
do22775,4573,snRNAseq2
do22776,3883,snRNAseq2
do22777,6208,snRNAseq2
do22778,5159,snRNAseq2
do22779,4656,snRNAseq2
do22780,1967,snRNAseq2
do22789,4781,snRNAseq2
do22790,3503,snRNAseq2
do22791,4814,snRNAseq2
do22792,3800,snRNAseq2
do22793,5651,snRNAseq2
do22794,5702,snRNAseq2
do22795,5729,snRNAseq2
do22796,1893,snRNAseq2
do22805,5607,snRNAseq2
do22806,3117,snRNAseq2
do22807,3598,snRNAseq2
do22808,2662,snRNAseq2
do22809,4187,snRNAseq2
do22810,5480,snRNAseq2
do22811,4369,snRNAseq2
do22812,1875,snRNAseq2
do22821,5689,snRNAseq2
do22822,3825,snRNAseq2
do22823,3355,snRNAseq2
do22824,2985,snRNAseq2
do22825,4023,snRNAseq2
do22826,4186,snRNAseq2
do22827,1709,snRNAseq2
do22828,1465,snRNAseq2
do22837,4402,snRNAseq2
do22838,4460,snRNAseq2
do22839,3801,snRNAseq2
do22840,3995,snRNAseq2
do22841,4686,snRNAseq2
do22842,2817,snRNAseq2
do22843,3655,snRNAseq2
do22844,1659,snRNAseq2
do22853,3712,snRNAseq2
do22854,3613,snRNAseq2
do22855,2851,snRNAseq2
do22856,2864,snRNAseq2
do22857,4361,snRNAseq2
do22858,4353,snRNAseq2
do22859,3964,snRNAseq2
do22860,1340,snRNAseq2
do22869,5637,snRNAseq2
do22870,5023,snRNAseq2
do22871,3764,snRNAseq2
do22872,4196,snRNAseq2
do22873,4962,snRNAseq2
do22874,5692,snRNAseq2
do22875,4801,snRNAseq2
do22876,1844,snRNAseq2
do22885,4526,snRNAseq2
do22886,4396,snRNAseq2
do22887,4019,snRNAseq2
do22888,4362,snRNAseq2
do22889,5522,snRNAseq2
do22890,4473,snRNAseq2
do22891,3417,snRNAseq2
do22892,1397,snRNAseq2
do22901,4058,snRNAseq2
do22902,4794,snRNAseq2
do22903,3977,snRNAseq2
do22904,4869,snRNAseq2
do22905,2843,snRNAseq2
do22906,4981,snRNAseq2
do22907,4369,snRNAseq2
do22908,1577,snRNAseq2
do22917,4615,snRNAseq2
do22918,5431,snRNAseq2
do22919,3375,snRNAseq2
do22920,4186,snRNAseq2
do22921,4905,snRNAseq2
do22922,4872,snRNAseq2
do22923,4861,snRNAseq2
do22924,1300,snRNAseq2
do22933,4447,snRNAseq2
do22934,3666,snRNAseq2
do22935,3843,snRNAseq2
do22936,3547,snRNAseq2
do22937,4710,snRNAseq2
do22938,3980,snRNAseq2
do22939,4177,snRNAseq2
do22940,937,snRNAseq2
do22949,5239,snRNAseq2
do22950,4637,snRNAseq2
do22951,3295,snRNAseq2
do22952,3663,snRNAseq2
do22953,4598,snRNAseq2
do22954,3822,snRNAseq2
do22955,2156,snRNAseq2
do22956,1372,snRNAseq2
do22965,4402,snRNAseq2
do22966,4751,snRNAseq2
do22967,4256,snRNAseq2
do22968,4199,snRNAseq2
do22969,5090,snRNAseq2
