Scp2	Hepatocyte	Hepatocyte
Serpina1a	Hepatocyte	Hepatocyte
Serpina1e	Hepatocyte	Hepatocyte
Trf	Hepatocyte	Hepatobiliary
Wfdc21	Hepatocyte	Hepatocyte
Aif1	Kupffer cell	Kupffer cell
Ccl6	Kupffer cell	Kupffer cell
Cd68	Kupffer cell	Kupffer cell
Cebpb	Kupffer cell	Kupffer cell
Creg1	Kupffer cell	Kupffer cell
Ctss	Kupffer cell	Kupffer cell
Gpx1	Kupffer cell	Kupffer cell
Hmox1	Kupffer cell	Kupffer cell
Lgals3	Kupffer cell	Kupffer cell
Lgmn	Kupffer cell	Kupffer cell
Lpl	Kupffer cell	Kupffer cell
Lst1	Kupffer cell	Kupffer cell
Mafb	Kupffer cell	Kupffer cell
Ms4a6c	Kupffer cell	Kupffer cell
Sat1	Kupffer cell	Kupffer cell
Sdc3	Kupffer cell	Kupffer cell
Trem2	Kupffer cell	Kupffer cell
Wfdc17	Kupffer cell	Kupffer cell
AW112010	Lymphocyte	Lymphocyte
Bcl11b	Lymphocyte	Lymphocyte
Cd28	Lymphocyte	Lymphocyte
Cd3d	Lymphocyte	Lymphocyte
Cd3e	Lymphocyte	Lymphocyte
Cd3g	Lymphocyte	Lymphocyte
Cd7	Lymphocyte	Lymphocyte
Cd8a	Lymphocyte	Lymphocyte
Ctsw	Lymphocyte	Lymphocyte
Cxcr6	Lymphocyte	Lymphocyte
Gimap3	Lymphocyte	Lymphocyte
Gimap7	Lymphocyte	Lymphocyte
Gzmb	Lymphocyte	Lymphocyte
H2-Q7	Lymphocyte	Lymphocyte
Hcst	Lymphocyte	Lymphocyte
Il2rb	Lymphocyte	Lymphocyte
Il7r	Lymphocyte	Lymphocyte
Klrd1	Lymphocyte	Lymphocyte
Klrk1	Lymphocyte	Lymphocyte
Lat	Lymphocyte	Lymphocyte
Ltb	Lymphocyte	Lymphocyte
Ms4a4b	Lymphocyte	Lymphocyte
Nkg7	Lymphocyte	Lymphocyte
Ptpn22	Lymphocyte	Lymphocyte
Rac2	Lymphocyte	Lymphocyte
Tmsb10	Lymphocyte	Lymphocyte
Trbc2	Lymphocyte	Lymphocyte
Txk	Lymphocyte	Lymphocyte
Xcl1	Lymphocyte	Lymphocyte
Mlxipl	Hepatocyte	Hepatocyte
Atf5	Hepatocyte	Hepatocyte
Nr1h4	Hepatocyte	Hepatocyte
Rxra	Hepatocyte	Hepatocyte
Nr1h3	Hepatocyte	Hepatocyte
Cebpb	Hepatocyte	Hepatocyte
Gata6	Hepatocyte	Hepatocyte
Ppara	Hepatocyte	Hepatocyte
Nr2f2	Hepatocyte	Hepatocyte
Nr2f1	Hepatocyte	Hepatocyte
Nr5a2	Hepatocyte	Hepatocyte
Nr1i2	Hepatocyte	Hepatocyte
Nr0b2	Hepatocyte	Hepatocyte
Klf15	Hepatocyte	Hepatocyte
Hnf1a	Hepatocyte	Hepatocyte
Ppard	Hepatocyte	Hepatocyte
Pparg	Hepatocyte	Hepatocyte
Nr1d1	Hepatocyte	Hepatocyte
Nr1d2	Hepatocyte	Hepatocyte
Rora	Hepatocyte	Hepatocyte
Rorb	Hepatocyte	Hepatocyte
Rorc	Hepatocyte	Hepatocyte
Nr1h5	Hepatocyte	Hepatocyte
Nr1h2	Hepatocyte	Hepatocyte
Rxrb	Hepatocyte	Hepatocyte
Rxrg	Hepatocyte	Hepatocyte
Nr3c1	Hepatocyte	Hepatocyte
Ppargc1a 	Hepatocyte	Hepatocyte
Ncoa1	Hepatocyte	Hepatocyte
Crebbp	Hepatocyte	Hepatocyte
Nr5a1	Hepatocyte	Hepatocyte
Igf1	Hepatocyte	Hepatocyte
Igf2	Hepatocyte	Hepatocyte
Igfbp3	Hepatocyte	Hepatocyte
Cyp3a11	Hepatocyte	Hepatocyte
Cyp27a1	Hepatocyte	Hepatocyte
Cyp39a1	Hepatocyte	Hepatocyte
Cyp19a1	Hepatocyte	Hepatocyte
Cyp3a13	Hepatocyte	Hepatocyte
Cyp2d10	Hepatocyte	Hepatocyte
Cyp2d26	Hepatocyte	Hepatocyte
Ugt1a2	Hepatocyte	Hepatocyte
Ugt2b36	Hepatocyte	Hepatocyte
Ugt2a1	Hepatocyte	Hepatocyte
Cpt1a	Hepatocyte	Hepatocyte
Slc1a2	Hepatocyte	Hepatocyte
Rrm2 	Hepatocyte	Hepatocyte
Pfkfb2	Hepatocyte	Hepatocyte
Ihh	Hepatocyte	Hepatocyte
Lect2	Hepatocyte	Hepatocyte
Apc	Hepatocyte	Hepatocyte
Acot1	Hepatocyte	Hepatocyte
Fgf21	Hepatocyte	Hepatocyte
Chchd10	Lymphocyte	Lymphocyte
Creld2	Lymphocyte	Lymphocyte
Crip1	Lymphocyte	Lymphocyte
Derl3	Lymphocyte	Lymphocyte
Dnajc3	Lymphocyte	Lymphocyte
Eaf2	Lymphocyte	Lymphocyte
Edem1	Lymphocyte	Lymphocyte
Edem2	Lymphocyte	Lymphocyte
Fam46c	Lymphocyte	Lymphocyte
Glipr1	Lymphocyte	Lymphocyte
Gm43291	Lymphocyte	Lymphocyte
H13	Lymphocyte	Lymphocyte
Herpud1	Lymphocyte	Lymphocyte
Hsp90b1	Lymphocyte	Lymphocyte
Igha	Lymphocyte	Lymphocyte
Igkc	Lymphocyte	Lymphocyte
Jchain	Lymphocyte	Lymphocyte
Krtcap2	Lymphocyte	Lymphocyte
Manf	Lymphocyte	Lymphocyte
Mzb1	Lymphocyte	Lymphocyte
Pdia4	Lymphocyte	Lymphocyte
Pycard	Lymphocyte	Lymphocyte
Rexo2	Lymphocyte	Lymphocyte
Sdf2l1	Lymphocyte	Lymphocyte
Sec11c	Lymphocyte	Lymphocyte
Sec61b	Lymphocyte	Lymphocyte
Serp1	Lymphocyte	Lymphocyte
Slpi	Lymphocyte	Lymphocyte
Ssr4	Lymphocyte	Lymphocyte
Trp53inp1	Lymphocyte	Lymphocyte
Tspan13	Lymphocyte	Lymphocyte
Txndc11	Lymphocyte	Lymphocyte
Txndc5	Lymphocyte	Lymphocyte
Xbp1	Lymphocyte	Lymphocyte
C3	Neutrophil	Neutrophil
Csf3r	Neutrophil	Neutrophil
Sepx1	Neutrophil	Neutrophil
Hp	Neutrophil	Neutrophil
Retnig	Neutrophil	Neutrophil
Agrn	Neutrophil	Neutrophil
S1008a	Neutrophil	Neutrophil
Hdc	Neutrophil	Neutrophil
S100a9	Neutrophil	Neutrophil
Pgrmc1	Neutrophil	Neutrophil
Slpi	Neutrophil	Neutrophil
Anxa1	Neutrophil	Neutrophil
Rarres2	Neutrophil	Neutrophil
Edil3	Neutrophil	Neutrophil
Psen1	Neutrophil	Neutrophil
Inhbc	Neutrophil	Neutrophil
